Timestamp,  Consent & Instructions  ,"Age (number only, e.g., 18)",Gender,Year of Study,Branch,Usual sleeping time,Usual Wake-up Time,Cleanliness Level,Study Environment Preferences,Guest/Friends Frequency,Smoking Habit,Drinking Habit,  Is this your first time living in a hostel?  ,Room Temperature Preference,Study hours per day,Room Organization Style,"Noise Tolerance ( 1-5)
(1 = Cannot tolerate noise, 5 = Very tolerant) ",I am introverted.,I get irritated easily.,  I respect others’ personal space.  ,  I prefer fixed routines.  ,  I am comfortable sharing belongings.  ,Preferred roommate sleep type,  I prefer my roommate to:  ,Cleanliness expectation from roommates,"  When conflicts arise, I usually:  ",Light Preference at Night,  Do you use loud alarms in the morning?  ,"  Are you active late at night (calls, laptop, etc.)?  ",  Which factor matters most to you when selecting a roommate?  ,Email Address,"1 – Strongly disagree
5 – Strongly agree [Row 1]"
2/24/2026 13:33:57,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,21,Male,3,CSE,10 pm to 12 am,6-8 am,Moderately Clean,Complete Silence,Occasionally,No,No,Yes,Moderate,0-2,Flexible,3,3,2,5,4,4,Does not matter,Be very interactive,Moderate,Talk directly and resolve,"Yes , complete darkness",Yes,Rarely,Personality,,
2/24/2026 14:38:21,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,19,Male,1,AIML,12 am to 2 am,8-10 am,Moderately Clean,Music While Studying,Occasionally,No,No,No,Cold,0-2,Semi Organized,3,2,3,4,2,3,Late Sleeper,Be moderately social,Moderate,Talk directly and resolve,"Yes , complete darkness",Yes,Yes,Personality,,
2/24/2026 14:43:45,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,19,Male,2,CSE,After 2 am,6-8 am,Moderately Clean,Light Background Noise,Occasionally,No,No,No,Moderate,4-6,Flexible,3,4,2,5,3,5,Late Sleeper,Respect space mostly,Does not matter,Talk directly and resolve,Dim light is fine,Occasionally,Yes,Study habits,,
2/24/2026 14:44:43,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,19,Female,2,RNA,After 2 am,8-10 am,Very Clean,Music While Studying,Weekly,No,Occasionally,No,Cold,0-2,Highly Organized,3,2,4,5,3,3,Does not matter,Respect space mostly,Very Clean,Get irritated but stay silent,"Yes , complete darkness",No,Rarely,Personality,,
2/24/2026 15:03:38,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,19,Male,1,AIML,12 am to 2 am,6-8 am,Moderately Clean,Light Background Noise,Weekly,No,No,Yes,Moderate,2-4,Highly Organized,3,3,3,3,4,3,Early Sleeper,Be moderately social,Moderate,Talk directly and resolve,"Yes , complete darkness",Yes,Yes,Personality,,
2/24/2026 15:04:13,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,19,Female,1,AIML,Before 10 pm,Before 6 am,Moderately Clean,Complete Silence,Weekly,No,No,,Moderate,2-4,Highly Organized,2,4,3,5,3,2,Early Sleeper,Be moderately social,Moderate,Talk directly and resolve,"Yes , complete darkness",No,Rarely,Personality,,
2/24/2026 16:45:12,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,18,Male,1,CSE,10 pm to 12 am,Before 6 am,Moderately Clean,Light Background Noise,Occasionally,No,No,Yes,Moderate,0-2,Semi Organized,3,3,2,4,4,4,Does not matter,Be moderately social,Moderate,Talk directly and resolve,Dim light is fine,Yes,Rarely,Cleanliness,,
2/24/2026 22:28:17,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,18,Male,1,AIML,After 2 am,8-10 am,Moderately Clean,Music While Studying,Frequently,No,Occasionally,Yes,Moderate,0-2,Flexible,4,3,1,5,4,4,Late Sleeper,Be very interactive,Very Clean,Seek third-person help,Dim light is fine,Occasionally,Yes,Personality,,
2/24/2026 22:31:14,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,19,Male,1,RNA,After 2 am,6-8 am,Moderately Clean,Music While Studying,Frequently,No,No,Yes,Moderate,0-2,Semi Organized,3,3,3,4,3,4,Does not matter,Be moderately social,Moderate,Get irritated but stay silent,Doesn’t matter,Occasionally,Yes,Cleanliness,,
2/24/2026 22:31:54,I consent to my anonymized responses being used for academic research and machine learning-based roommate matching.,19,Female,1,AIML,12 am to 2 am,6-8 am,Moderately Clean,Does not matter,Rarely,Occasionally,Occasionally,Yes,Moderate,0-2,Flexible,3,3,3,1,5,3,Does not matter,Respect space mostly,Moderate,Talk directly and resolve,Dim light is fine,No,Yes,Personality,,
